idx,p_x,p_y,p_z,q_w,q_x,q_y,q_z
71,-1.52197,1.36338,0.0943444,0.743637,-1.62831e-06,0.0160012,-0.668392
72,-1.52196,1.36339,0.0943453,0.743675,1.38553e-05,0.0161117,-0.668347
73,-1.52196,1.36338,0.0943394,0.743658,2.159e-05,0.016006,-0.668369
74,-1.52197,1.36337,0.0943387,0.743644,8.51159e-06,0.0160208,-0.668384
75,-1.52196,1.36338,0.094339,0.743671,4.07106e-05,0.0160303,-0.668354
76,-1.52197,1.36342,0.0943255,0.743656,2.21691e-05,0.0159901,-0.668371
77,-1.52199,1.36341,0.0943381,0.743657,1.94926e-05,0.0160207,-0.668369
78,-1.52198,1.36342,0.0943519,0.743651,4.80237e-05,0.0161365,-0.668373
79,-1.52201,1.3634,0.0943944,0.743658,-2.83494e-05,0.0164401,-0.668358
80,-1.52196,1.3634,0.0943573,0.743641,-6.3554e-06,0.0160712,-0.668386
81,-1.52197,1.36342,0.0943701,0.743623,8.73025e-06,0.0160823,-0.668406
82,-1.52195,1.36338,0.0943367,0.743614,3.56921e-06,0.0161904,-0.668413
83,-1.52198,1.36339,0.0943442,0.743883,-6.52858e-05,0.016232,-0.668112
84,-1.52185,1.36332,0.0943361,0.744173,2.16147e-06,0.0156397,-0.667804
85,-1.52203,1.36334,0.0943636,0.743271,-4.89345e-05,0.0160943,-0.668797
86,-1.52198,1.36332,0.0943833,0.743534,-1.54952e-05,0.0160628,-0.668505
87,-1.52202,1.36332,0.0943352,0.743626,-2.86711e-05,0.0161014,-0.668402
88,-1.522,1.36332,0.0943302,0.743661,-1.58497e-05,0.0159892,-0.668365
89,-1.52203,1.36335,0.0943686,0.743506,-2.23001e-05,0.0159105,-0.66854
90,-1.52204,1.36334,0.0943652,0.743501,-7.49916e-05,0.0160704,-0.668541
91,-1.52201,1.36335,0.0943409,0.743547,-8.86104e-05,0.0159652,-0.668493
92,-1.522,1.36337,0.0943515,0.743592,5.18369e-05,0.0162582,-0.668436
93,-1.52203,1.36335,0.0943863,0.743547,-5.56386e-05,0.0158307,-0.668496
94,-1.52199,1.36331,0.0943797,0.743467,0.000109164,0.0163149,-0.668573
95,-1.52201,1.36334,0.0943833,0.743532,-6.23431e-05,0.0159496,-0.66851
96,-1.52205,1.36337,0.094406,0.743472,0.000154751,0.0161974,-0.668571
97,-1.52198,1.36334,0.0944241,0.743572,-7.39426e-05,0.0157543,-0.66847
98,-1.52198,1.36326,0.094454,0.743625,-0.000116539,0.0158,-0.66841
99,-1.52201,1.36335,0.0943863,0.743495,8.34071e-05,0.0161712,-0.668546
100,-1.522,1.36327,0.0943665,0.743513,0.000111904,0.016102,-0.668527
101,-1.52202,1.36343,0.0944253,0.74345,2.61036e-05,0.0161933,-0.668596
102,-1.52206,1.36346,0.0943888,0.74349,0.000156507,0.0162595,-0.668549
